specimen,specimen_key,drive_label,run_index,frequency_hz,omega_rad_s,vx_fit_r2,vy_fit_r2,vx_equation,vy_equation,display_area_v2,current_peak_A,blank_corrected,blank_slope_T_per_Am,power_loss_density_W_per_m3,loop_area_bh,signed_loop_area_bh,energy_loss_per_cycle_per_volume,remanence_B,coercivity_H,initial_slope_dBdH,H_max,H_min,B_max,B_min
Transformer Stampings,transformer_stampings,C-V1,1,50.032539158921054,314.36371492422006,0.9994528392029425,0.9960001220125216,"$V_x(t) = 0.06216 +13.27\sin\!\left(314.4\,t -0.09897\right)$
$f = 50.03\,\mathrm{Hz}$","$V_y(t) = 0.001067 +0.188\sin\!\left(314.4\,t +0.04593\right)$
$f = 50.03\,\mathrm{Hz}$",5.6562777983026535,0.24236566994033584,True,7.358335573266704e-05,23895.12584610197,477.59170827214257,-477.59170827214257,477.59170827214257,0.013570664388251937,415.74858051300237,3.25711158378074e-05,2251.074333811169,-2230.081098842866,0.07289724794603422,-0.07337517793788247
Transformer Stampings,transformer_stampings,C-V2,2,49.99572256754823,314.1323894582459,0.9995489919995039,0.99793276132326,"$V_x(t) = 0.05864 +17.08\sin\!\left(314.1\,t +0.07694\right)$
$f = 50\,\mathrm{Hz}$","$V_y(t) = 0.0007122 +0.1072\sin\!\left(314.1\,t -0.03141\right)$
$f = 50\,\mathrm{Hz}$",3.1110661867005547,0.3116934623023918,True,7.358335573266704e-05,13133.127100443768,262.68501435697544,262.68501435697544,262.68501435697544,0.0057968538924508305,105.11481434332876,5.4057003784169525e-05,2894.985717978871,-2875.179341691385,0.1587339116274861,-0.159479101258158
Transformer Stampings,transformer_stampings,C-V3,3,49.95908014490784,313.9021583266923,0.9995524670053043,0.997875641971907,"$V_x(t) = 0.06448 +17.67\sin\!\left(313.9\,t +0.1997\right)$
$f = 49.96\,\mathrm{Hz}$","$V_y(t) = 0.0005995 +0.1132\sin\!\left(313.9\,t +0.08631\right)$
$f = 49.96\,\mathrm{Hz}$",3.552952918241772,0.32248598153937974,True,7.358335573266704e-05,14987.525437110466,299.99602461932227,299.99602461932227,299.99602461932227,0.006400193566446708,116.81479906036388,5.474177926114123e-05,2995.225834731081,-2973.4501911882626,0.1630084766075484,-0.16401134334251363
Ferrite Rod,ferrite_rod,C-V1,4,49.953445745451695,313.8667563508147,0.9993190214512848,0.9990039702350634,"$V_x(t) = 0.04225 +9.371\sin\!\left(313.9\,t +0.08762\right)$
$f = 49.95\,\mathrm{Hz}$","$V_y(t) = 0.0006361 +0.1366\sin\!\left(313.9\,t +0.05894\right)$
$f = 49.95\,\mathrm{Hz}$",0.5765816498008007,0.1711462054911683,True,7.358335573266704e-05,2431.936968291746,48.684068376067444,48.684068376067444,48.684068376067444,0.001958756129353868,64.29612871080062,2.9818205769619932e-05,1589.5932398560522,-1575.3234313634534,0.04800211279622969,-0.04841590199968382
Ferrite Rod,ferrite_rod,C-V2,5,49.93232438161617,313.73404690789573,0.9993549029582472,0.9992316815163667,"$V_x(t) = 0.05127 +13.4\sin\!\left(313.7\,t +0.08386\right)$
$f = 49.93\,\mathrm{Hz}$","$V_y(t) = 0.0006947 +0.1983\sin\!\left(313.7\,t +0.06189\right)$
$f = 49.93\,\mathrm{Hz}$",0.917065863967764,0.24464130734522127,True,7.358335573266704e-05,3866.4140331217905,77.43308730376884,77.43308730376884,77.43308730376884,0.0021780622566951657,73.07605065298318,2.9334805321516298e-05,2272.2102849401354,-2254.894009412791,0.06717623196266166,-0.06775580085229731
Ferrite Rod,ferrite_rod,C-V3,6,49.95629489593129,313.8846580912461,0.9993972636647347,0.9991849660176678,"$V_x(t) = 0.06736 +18.17\sin\!\left(313.9\,t +0.09598\right)$
$f = 49.96\,\mathrm{Hz}$","$V_y(t) = 0.0005314 +0.171\sin\!\left(313.9\,t +0.05099\right)$
$f = 49.96\,\mathrm{Hz}$",2.1957052939883397,0.3316430490451265,True,7.358335573266704e-05,9261.691627161765,185.39588747435482,185.39588747435482,185.39588747435482,0.003846303339052823,84.05248868304253,4.5246595439633337e-05,3080.275997323156,-3057.52559340535,0.13986362436606875,-0.14100631194641478
Iron Nail,iron_nail,C-V1,7,49.94224142534273,313.79635753132914,0.9992544526048434,0.9980476444668224,"$V_x(t) = 0.04374 +9.411\sin\!\left(313.8\,t +0.5607\right)$
$f = 49.94\,\mathrm{Hz}$","$V_y(t) = 0.000426 +0.09503\sin\!\left(313.8\,t +0.089\right)$
$f = 49.94\,\mathrm{Hz}$",6.382852937672396,0.17190982446252273,True,7.358335573266704e-05,26915.900568171633,538.9405801581306,538.9405801581306,538.9405801581306,0.021590558629578198,441.7317328672614,4.709294539572519e-05,1596.685676122502,-1581.9058034915722,0.07734990369544684,-0.07801102647523027
Iron Nail,iron_nail,C-V2,8,49.96195131650029,313.9201984298564,0.9994164517335287,0.998432976841758,"$V_x(t) = 0.0514 +13.82\sin\!\left(313.9\,t +0.5645\right)$
$f = 49.96\,\mathrm{Hz}$","$V_y(t) = 0.000409 +0.1317\sin\!\left(313.9\,t +0.08684\right)$
$f = 49.96\,\mathrm{Hz}$",13.142874807154385,0.252267417983058,True,7.358335573266704e-05,55444.16025392028,1109.7276786227012,1109.7276786227012,1109.7276786227012,0.030267256584931485,602.4586310375244,4.7947434213780126e-05,2343.041033898371,-2325.6799777123406,0.11684296615198456,-0.11771141361469381
Iron Nail,iron_nail,C-V3,9,49.96791740990574,313.95768450028277,0.9992918193499465,0.9985776424205124,"$V_x(t) = 0.06618 +18.12\sin\!\left(314\,t +0.5639\right)$
$f = 49.97\,\mathrm{Hz}$","$V_y(t) = 0.0004528 +0.1659\sin\!\left(314\,t +0.07171\right)$
$f = 49.97\,\mathrm{Hz}$",22.308960109297914,0.33059693089654524,True,7.358335573266704e-05,94123.18684848808,1883.6723987585865,1883.6723987585865,1883.6723987585865,0.03920074712599985,763.9770782116376,5.013065522315001e-05,3070.5597296892743,-3048.208322626729,0.15638516963386045,-0.1575771429917635
Hacksaw Blade,hacksaw_blade,C-V1,10,49.947012899562566,313.82633758804076,0.9995762204833242,0.999578505604033,"$V_x(t) = 0.02749 +4.765\sin\!\left(313.8\,t +0.1164\right)$
$f = 49.95\,\mathrm{Hz}$","$V_y(t) = 0.002289 +0.3582\sin\!\left(313.8\,t -0.09844\right)$
$f = 49.95\,\mathrm{Hz}$",5.714000304546971,0.08713357399975244,True,7.358335573266704e-05,24097.71293999024,482.4655478085915,482.4655478085915,482.4655478085915,0.038175529399068736,252.02518715713273,0.00014318689086865278,809.2901609884127,-800.0008309575288,0.12268641451068185,-0.12107956545040202
Hacksaw Blade,hacksaw_blade,C-V2,11,49.920596089461654,313.6603558749522,0.9990686010033777,0.9991135445087065,"$V_x(t) = 0.02351 +6.44\sin\!\left(313.7\,t +0.09655\right)$
$f = 49.92\,\mathrm{Hz}$","$V_y(t) = 0.002784 +0.4706\sin\!\left(313.7\,t -0.1041\right)$
$f = 49.92\,\mathrm{Hz}$",9.484569775891941,0.11751281218877697,True,7.358335573266704e-05,39978.21926804954,800.8361758422398,800.8361758422398,800.8361758422398,0.0468879434392407,323.39029627486116,0.00015895063707362778,1091.4502680072164,-1083.5103005084115,0.15876932572472616,-0.15656972826232765
Hacksaw Blade,hacksaw_blade,C-V3,12,49.93359258307218,313.74201525265073,0.9982686050564011,0.9972132016420786,"$V_x(t) = 0.02544 +7.775\sin\!\left(313.7\,t +0.0918\right)$
$f = 49.93\,\mathrm{Hz}$","$V_y(t) = 0.002476 +0.5294\sin\!\left(313.7\,t -0.09656\right)$
$f = 49.93\,\mathrm{Hz}$",12.105768307489143,0.1418232709873307,True,7.358335573266704e-05,51040.06495112849,1022.1588776376448,1022.1588776376448,1022.1588776376448,0.049568478297712534,381.0760767018036,0.00014298669836641835,1317.2440029783036,-1308.6511772131748,0.17170177626190836,-0.16985836026745324
